	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
Cer 16:0	3.5000000000000004e-06	4.250000000000001e-06	5.125e-06	0.0001	9.5e-05	0.00012	4.394506866416967e-05	3.5580524344569284e-05	3.183520599250937e-05	3.6059479553903344e-05	3.643122676579926e-05	3.271375464684015e-05
Cer 18:0	3.125e-06	0.0	3.3750000000000003e-06	0.0	6.25e-05	6.25e-05	2.1972534332084908e-05	1.2359550561797754e-05	1.01123595505618e-05	9.66542750929368e-06	1.2267657992565058e-05	0.0
Cer 19:0	2.5000000000000006e-06	0.0	0.0	0.0	0.0	4.4999999999999996e-05	0.0	7.1161048689138586e-06	0.0	6.319702602230484e-06	0.0	0.0
Cer 22:0	5.500000000000001e-06	4.375e-06	8e-06	0.000105	8.999999999999999e-05	0.000105	2.696629213483146e-05	2.0973782771535582e-05	1.7977528089887643e-05	1.933085501858736e-05	2.1561338289962824e-05	1.7100371747211897e-05
Cer 24:0	1.0875000000000002e-05	8.25e-06	1.7125000000000003e-05	0.0001875	0.0002125	0.00019	6.991260923845206e-05	4.943820224719102e-05	4.157303370786517e-05	4.237918215613383e-05	4.869888475836432e-05	4.312267657992565e-05
Cer 24:1	2.2375000000000002e-05	1.45e-05	2.7750000000000004e-05	0.0004175	0.0004825	0.0004175	0.00011585518102372023	7.827715355805243e-05	8.014981273408241e-05	7.9182156133829e-05	8.847583643122677e-05	7.286245353159852e-05
Cer 24:2	3.5000000000000004e-06	0.0	5.000000000000001e-06	7.000000000000001e-05	7.5e-05	8.75e-05	2.696629213483146e-05	1.647940074906367e-05	1.5730337078651687e-05	1.6356877323420076e-05	1.5241635687732342e-05	1.6356877323420076e-05
DHSM 16:0	1.025e-05	9.875000000000003e-06	1.4874999999999999e-05	0.00027	0.000205	0.0001375	7.590511860174794e-05	3.932584269662922e-05	4.644194756554308e-05	4.535315985130112e-05	6.877323420074352e-05	5.130111524163569e-05
DHSM 17:0	0.0	0.0	3.875e-06	0.0	0.0	0.0	0.0	8.239700374531835e-06	5.617977528089887e-06	7.434944237918216e-06	9.29368029739777e-06	0.0
DHSM 18:0	0.0	2.8750000000000004e-06	3.5000000000000004e-06	0.0	0.0	0.0	0.0	1.2734082397003747e-05	4.2322097378277146e-05	3.6059479553903344e-05	8.252788104089221e-05	6.840148698884759e-05
DHSM 19:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3457249070631974e-06	0.0	0.0
DHSM 20:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.338289962825279e-05	1.0408921933085503e-05
DHSM 22:0	5e-07	1.875e-06	1.3750000000000002e-06	0.0	0.0	0.0	0.0	7.865168539325843e-06	0.0	0.0	1.1895910780669147e-05	3.717472118959108e-06
DHSM 24:0	1.875e-06	0.0	0.0	0.0	0.0	0.0	0.0	8.61423220973783e-06	7.490636704119851e-07	1.4869888475836434e-06	7.434944237918217e-07	0.0
DHSM 25:0	0.0	0.0	2.7500000000000004e-06	0.0	0.0	0.0	0.0	1.3108614232209737e-05	1.4981273408239702e-05	1.2639405204460968e-05	1.1524163568773235e-05	0.0
SM 14:0	2.7875e-05	3.1125000000000004e-05	4.1125000000000004e-05	0.0003925	0.0004275	0.0003025	0.00012184769038701611	7.340823970037454e-05	6.853932584269663e-05	6.57992565055762e-05	6.802973977695167e-05	6.988847583643122e-05
SM 15:0	1.75e-05	2.3375000000000002e-05	2.8375000000000002e-05	0.00040500000000000003	0.0003325	0.00031	9.78776529338326e-05	5.243445692883895e-05	5.955056179775282e-05	6.171003717472119e-05	5.910780669144982e-05	5.724907063197027e-05
SM 16:0	0.00032512500000000006	0.000322375	0.000529375	0.00566	0.0058725	0.0054825	0.0017627965043695393	0.0010464419475655431	0.0012157303370786518	0.0010828996282527881	0.0011237918215613383	0.0010773234200743495
SM 16:1	2.5750000000000002e-05	2.3875e-05	3.7500000000000003e-05	0.00037	0.00038	0.00034	0.00011485642946317116	6.329588014981273e-05	7.191011235955057e-05	6.319702602230483e-05	6.57992565055762e-05	6.988847583643122e-05
SM 17:0	1.125e-05	1.2250000000000001e-05	1.7375e-05	0.0	0.0002275	0.0002	5.992509363295881e-05	3.5580524344569284e-05	4.157303370786517e-05	3.9033457249070635e-05	4.163568773234201e-05	3.717472118959108e-05
SM 18:0	6.175000000000001e-05	5.512500000000001e-05	9.65e-05	0.00082	0.0009275	0.0008900000000000001	0.000251685393258427	0.00015280898876404494	0.00016741573033707865	0.0001553903345724907	0.00017397769516728625	0.00014944237918215614
SM 18:1	1.8375e-05	1.9500000000000003e-05	3.3875000000000003e-05	0.0002575	0.0002575	0.00024	8.888888888888877e-05	4.906367041198502e-05	6.329588014981273e-05	5.3903345724907065e-05	5.762081784386618e-05	4.981412639405205e-05
SM 19:0	3.75e-06	5.000000000000001e-06	4.875000000000001e-06	0.0	0.0	0.0	0.0	9.737827715355805e-06	9.363295880149813e-06	5.947955390334574e-06	8.921933085501859e-06	1.2639405204460968e-05
SM 20:0	2.1875000000000003e-05	2.05e-05	3.0375000000000003e-05	0.00029	0.000285	0.0002875	8.08988764044944e-05	4.344569288389513e-05	5.8426966292134835e-05	4.609665427509294e-05	5.278810408921933e-05	5.055762081784387e-05
SM 20:1	1.0125000000000002e-05	8.500000000000002e-06	1.7000000000000003e-05	0.0	0.0	0.00013000000000000002	3.795255930087379e-05	2.5093632958801503e-05	2.471910112359551e-05	2.267657992565056e-05	2.7137546468401486e-05	3.866171003717472e-05
SM 21:0	5.8750000000000005e-06	8.375e-06	1.0125000000000002e-05	0.0	0.0	0.0	2.9962546816479404e-05	1.610486891385768e-05	1.722846441947566e-05	1.4498141263940521e-05	1.4498141263940521e-05	1.6356877323420076e-05
SM 22:0	0.0001035	0.000104375	0.00015225	0.001555	0.0018000000000000002	0.0015500000000000002	0.00046841448189762923	0.0002801498127340824	0.0003374531835205993	0.0003111524163568773	0.00031970260223048325	0.00028921933085501863
SM 22:1	4.125e-05	4.3874999999999996e-05	6.8625e-05	0.000695	0.0006175000000000001	0.0006775	0.00016978776529338313	0.00010337078651685393	0.0001344569288389513	0.00011189591078066914	0.0001271375464684015	0.0001100371747211896
SM 22:2	3.625e-06	4.5e-06	6e-06	0.0	0.0	0.0	0.0	8.988764044943822e-06	1.3857677902621722e-05	1.1524163568773235e-05	1.0780669144981412e-05	0.0
SM 23:0	2.1375e-05	2.7125000000000002e-05	3.4625e-05	0.00034	0.0004375	0.00045250000000000005	0.00011685393258426967	6.928838951310862e-05	0.00010561797752808988	8.401486988847583e-05	8.327137546468403e-05	7.732342007434944e-05
SM 23:1	1.8625e-05	2.3625e-05	2.5500000000000003e-05	0.00038500000000000003	0.000355	0.00032750000000000005	7.590511860174794e-05	4.756554307116105e-05	7.191011235955057e-05	4.163568773234201e-05	5.278810408921933e-05	5.353159851301116e-05
SM 24:0	0.00025225000000000003	0.000244625	0.00042249999999999997	0.00432	0.00529	0.004217500000000001	0.0014302122347066182	0.0008524344569288391	0.0010651685393258427	0.0008509293680297399	0.0009401486988847584	0.0008572490706319702
SM 24:1	0.00043075000000000003	0.0003367500000000001	0.000608625	0.007685	0.0081975	0.006455	0.001826716604244693	0.001352434456928839	0.0015887640449438203	0.0012026022304832715	0.0014081784386617102	0.0012602230483271374
SM 24:2	8.4375e-05	6.6375e-05	0.000121	0.00142	0.0014275	0.0013675	0.0004174781523096143	0.0002902621722846442	0.0003674157303370787	0.00026914498141263944	0.0002925650557620818	0.000308550185873606
SM 24:3	6e-06	5.000000000000001e-06	8.375e-06	0.0	0.0	0.0	2.696629213483146e-05	1.9850187265917608e-05	2.5468164794007495e-05	1.858736059479554e-05	1.7100371747211897e-05	2.3791821561338294e-05
SM 25:0	9.750000000000002e-06	9.875000000000003e-06	1.3500000000000001e-05	0.000205	0.0002525	0.00021	5.393258426966292e-05	3.857677902621723e-05	4.943820224719102e-05	3.9776951672862456e-05	3.754646840148699e-05	4.163568773234201e-05
SM 25:1	9.500000000000002e-06	1.1375000000000002e-05	1.5875e-05	0.0	0.0001875	0.0001975	4.893882646691648e-05	3.4082397003745325e-05	4.3820224719101126e-05	3.680297397769517e-05	3.4200743494423794e-05	3.345724907063197e-05
SM 26:0	1.7624999999999998e-05	1.6125000000000002e-05	2.5124999999999997e-05	0.00037	0.00026500000000000004	0.00032500000000000004	8.08988764044944e-05	5.917602996254682e-05	6.02996254681648e-05	4.758364312267659e-05	5.5762081784386615e-05	5.5762081784386615e-05
SM 26:1	1.9750000000000006e-05	1.9125000000000004e-05	2.8000000000000003e-05	0.00032500000000000004	0.0004275	0.00038	9.78776529338326e-05	6.741573033707865e-05	8.127340823970038e-05	7.583643122676581e-05	7.360594795539034e-05	7.509293680297399e-05
SM 26:2	8.125000000000001e-06	7.875e-06	1.2625e-05	0.0	0.00017999999999999998	0.00016	4.893882646691648e-05	3.895131086142322e-05	4.644194756554308e-05	4.052044609665428e-05	3.9033457249070635e-05	3.717472118959108e-05
Cer	5.1375e-05	3.1375000000000004e-05	6.6375e-05	0.00088	0.0010175000000000002	0.0010275000000000002	0.0003056179775280899	0.0002202247191011236	0.00019737827715355806	0.00020929368029739778	0.00022267657992565057	0.00018215613382899633
DHSM	1.2625e-05	1.4625e-05	2.6375e-05	0.00027	0.000205	0.0001375	7.590511860174794e-05	8.98876404494382e-05	0.0001101123595505618	0.00010631970260223049	0.00019814126394052047	0.0001338289962825279
SM	0.00155575	0.001450625	0.002389125	0.025495	0.028147500000000002	0.024502500000000003	0.0075096129837703	0.00482996254681648	0.005789138576779026	0.004753159851301115	0.005185130111524164	0.004852044609665428
CE	0.00068725	0.0012326250000000002	0.0006776250000000001	0.0054225	0.00207	0.0108025	0.00032958801498127345	7.715355805243446e-05	0.0038539325842696635	0.00013122676579925652	0.00016840148698884762	0.0002394052044609666
DG	0.0001465	0.0	0.0002515	0.005110000000000001	0.00614	0.0058875	0.004441448189762809	0.004714606741573034	0.005963670411985018	0.012248698884758366	0.01711375464684015	0.008605204460966543
FC	0.0032418750000000004	0.00355475	0.00443075	0.06341	0.060175	0.0666075	0.022656679151061163	0.014607490636704119	0.015239700374531834	0.012528252788104089	0.019199628252788106	0.0168728624535316
PC	0.001341125	0.0014648750000000002	0.002191375	0.056842500000000004	0.0498325	0.0496525	0.02526841448189764	0.02780187265917603	0.03266292134831461	0.056195910780669156	0.09101858736059482	0.043435687732342014
PE	0.00041650000000000004	0.00035687500000000004	0.000894	0.037777500000000006	0.0270875	0.0253675	0.01142272159800251	0.013002247191011238	0.017082771535580528	0.02199925650557621	0.03628698884758364	0.014434200743494423
PG	0.0	0.0	0.0	0.001165	0.0008100000000000001	0.0	0.000856928838951311	0.0011726591760299625	0.0015779026217228468	0.003705204460966543	0.005745724907063197	0.0018312267657992565
PS	0.00026725	0.000278875	0.00041250000000000005	0.0098375	0.0064075	0.0048200000000000005	0.0030222222222222213	0.00541685393258427	0.004652434456928839	0.004741263940520446	0.0074765799256505585	0.002619330855018587
TG	0.0	0.0	0.00031937500000000005	0.0054575	0.0	0.006155000000000001	0.004525343320848952	0.0	0.0003853932584269663	0.009606691449814127	0.008231226765799257	0.002607434944237919
Neutral lipids	0.0008337500000000001	0.0012326250000000002	0.0012485	0.01599	0.00821	0.022845	0.009296379525592997	0.0047917602996254685	0.01020299625468165	0.02198661710037175	0.02551338289962825	0.011452044609665429
Phospholipids	0.002024875	0.0021006250000000005	0.003497875	0.10562250000000001	0.0841375	0.07984000000000001	0.040570287141073795	0.04739363295880151	0.05597602996254682	0.08664163568773235	0.1405278810408922	0.06232044609665428
Free cholesterol	0.0032418750000000004	0.00355475	0.00443075	0.06341	0.060175	0.0666075	0.022656679151061163	0.014607490636704119	0.015239700374531834	0.012528252788104089	0.019199628252788106	0.0168728624535316
Sphingolipids	0.0016197500000000003	0.0014966250000000001	0.0024818750000000006	0.026645	0.02937	0.0256675	0.007891136079900113	0.005140074906367042	0.006096629213483146	0.005068773234200743	0.0056059479553903354	0.005168029739776953
