	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
PG (36:1) 18:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	395.5056179775281	358.8014981273409	639.4052044609665	911.8959107806692	420.07434944237923
PG (36:2) 18:0_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.925093632958806	215.61338289962825	336.4312267657993	0.0
PG (36:2) 18:1_18:1	0.0	0.0	0.0	0.0	0.0	0.0	287.64044943820227	222.84644194756555	308.9887640449439	714.8698884758364	1236.4312267657995	484.75836431226764
PG (36:3) 18:1_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.47565543071163	131.83520599250937	401.48698884758375	519.7026022304833	0.0
PS 34:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	618.3520599250937	388.3895131086142	0.0	754.275092936803	0.0
PS 36:1	0.0	0.0	0.0	2745.0	0.0	0.0	1095.6304619225955	1393.2584269662923	1262.546816479401	1612.6394052044611	2826.022304832714	1155.390334572491
PS 36:2	0.0	0.0	0.0	1402.5	0.0	0.0	0.0	820.5992509363297	813.8576779026218	1167.6579925650558	1730.1115241635687	0.0
PS 38:4	267.25	278.875	412.50000000000006	4562.5	6407.5	4820.000000000001	1926.5917602996253	1381.2734082397005	1277.1535580524344	1243.4944237918216	1659.10780669145	1463.940520446097
PS 38:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	367.0411985018727	0.0	0.0	0.0	0.0
PS 40:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.8951310861423	348.3146067415731	307.0631970260223	0.0	0.0
PS 40:6	0.0	0.0	0.0	1127.5	0.0	0.0	0.0	452.434456928839	562.1722846441949	410.4089219330855	507.0631970260223	0.0
TAG 48:0	0.0	0.0	0.0	0.0	0.0	815.0	0.0	0.0	0.0	254.275092936803	221.56133828996283	0.0
TAG 50:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.30483271375466	14.498141263940521	0.0
TAG 50:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.6179775280899	1317.843866171004	1578.4386617100372	808.1784386617101
TAG 50:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	608.9219330855018	675.8364312267659	275.83643122676585
TAG 52:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1371.375464684015	1053.5315985130112	333.0855018587361
TAG 52:2	0.0	0.0	33.37500000000001	482.5	0.0	0.0	0.0	0.0	179.7752808988764	1532.3420074349442	2280.297397769517	812.639405204461
TAG 52:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1115.2416356877325	1200.0	0.0
TAG 54:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	639.4052044609665	564.3122676579926	377.69516728624535
TAG 54:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.267657992565	642.7509293680297	0.0
